Rk,Pk,Tm,Player
1,1,HOU,Hakeem Olajuwon
2,2,POR,Sam Bowie
3,3,CHI,Michael Jordan
4,4,DAL,Sam Perkins
5,5,PHI,Charles Barkley
6,6,WSB,Melvin Turpin
7,7,SAS,Alvin Robertson
8,8,LAC,Lancaster Gordon
9,9,KCK,Otis Thorpe
10,10,PHI,Leon Wood
11,11,ATL,Kevin Willis
12,12,CLE,Tim McCormick
13,13,PHO,Jay Humphries
14,14,LAC,Michael Cage
15,15,DAL,Terence Stansbury
16,16,UTA,John Stockton
17,17,NJN,Jeff Turner
18,18,IND,Vern Fleming
19,19,POR,Bernard Thompson
20,20,DET,Tony Campbell
21,21,MIL,Kenny Fields
22,22,PHI,Tom Sewell
23,23,LAL,Earl Jones
24,24,BOS,Michael Young
25,25,IND,Devin Durrant
26,26,POR,Victor Fleming
27,27,CLE,Ron Anderson
28,28,SEA,Cory Blackwell
29,29,IND,Stuart Gray
30,30,GSW,Steve Burtt
31,31,GSW,Jay Murphy
32,32,DET,Eric Turner
33,33,POR,Steve Colter
34,34,WSB,Tony Costner
35,35,GSW,Othell Wilson
36,36,PHO,Charles Jones
37,37,CHI,Ben Coleman
38,38,DAL,Charlie Sitton
39,39,SEA,Danny Young
40,40,DAL,Anthony Teachey
41,41,DAL,Tom Sluby
42,42,DEN,Willie White
43,43,CHI,Greg Wiltjer
44,44,WSB,Fred Reynolds
45,45,GSW,Gary Plummer
46,46,POR,Jerome Kersey
47,47,BOS,Ronnie Williams
48,48,PHI,James Banks
49,49,CHI,Tim Dillon
50,50,CLE,Ben McDonald
51,51,HOU,Jim Petersen
52,52,SEA,Terry Williams
53,53,WSB,Ricky Ross
54,54,KCK,Roosevelt Chapman
55,55,GSW,Lewis Jackson
56,56,KCK,Jeff Allen
57,57,SAS,Joe Binion
58,58,ATL,Bobby Parks
59,59,PHO,Murray Jarman
60,60,CLE,Leonard Mitchell