Name,Position,Height,Seas.,Years,Fin.,Tit.
Kareem Abdul-Jabbar,C,2.18/ 7'2'',20,1969-1989,10,6
Ray Allen,SG,1.96/ 6'5'',18,1996-2014,4,2
Nate Archibald,PG,1.85/ 6'1'',13,1970-1984,1,1
Paul Arizin,F/G,1.93/ 6'4'',10,1950-1962,1,1
Al Attles,PG,1.83/ 6'0'',11,1960-1971,2,0
Charles Barkley,PF/SF,1.98/ 6'6'',16,1984-2000,1,0
Don Barksdale,PF/C,1.98/ 6'6'',4,1951-1955,0,0
Rick Barry,SF,2.01/ 6'7'',10,1965-1980,2,1
Elgin Baylor,SF,1.96/ 6'5'',14,1958-1972,8,0
Zelmo Beaty,C,2.06/ 6'9'',8,1962-1975,0,0
Walt Bellamy,C,2.11/ 6'11'',14,1961-1975,0,0
Dave Bing,SG,1.91/ 6'3'',12,1966-1978,0,0
Larry Bird,SF/PF,2.06/ 6'9'',13,1979-1992,5,3
Chris Bosh,PF/C,2.11/ 6'11'',13,2003-2016,4,2
Bill Bradley,F/G,1.98/ 6'6'',10,1967-1977,3,2
Carl Braun,SG,1.96/ 6'5'',13,1947-1962,2,1
Kobe Bryant,G/F,1.98/ 6'6'',20,1996-2016,7,5
Al Cervi,F/G,1.80/ 5'11'',4,1949-1953,1,0
Wilt Chamberlain,C,2.16/ 7'1'',14,1959-1973,6,2
Maurice Cheeks,PG,1.85/ 6'1'',15,1978-1993,3,1
Nat Clifton,C/PF,2.03/ 6'8'',8,1950-1958,3,0
Chuck Cooper,SF/PF,1.96/ 6'5'',6,1950-1956,1,0
Larry Costello,PG,1.85/ 6'1'',12,1954-1968,1,1
Bob Cousy,PG,1.85/ 6'1'',14,1950-1970,7,6
Dave Cowens,C/PF,2.06/ 6'9'',11,1970-1983,2,2
Billy Cunningham,PF/C,1.98/ 6'6'',9,1965-1976,1,1
Louie Dampier,PG,1.83/ 6'0'',3,1976-1979,0,0
Bob Dandridge,F/G,1.98/ 6'6'',13,1969-1982,4,2
Mel Daniels,C,2.06/ 6'9'',1,1976-1977,0,0
Adrian Dantley,F/G,1.96/ 6'5'',15,1976-1991,1,0
Bob Davies,G/F,1.85/ 6'1'',7,1948-1955,1,1
Dave DeBusschere,PF,1.98/ 6'6'',12,1962-1974,3,2
Vlade Divac,C,2.16/ 7'1'',16,1989-2005,1,0
Clyde Drexler,G/F,2.01/ 6'7'',15,1983-1998,3,1
Joe Dumars,SG,1.91/ 6'3'',14,1985-1999,3,2
Tim Duncan,PF/C,2.11/ 6'11'',19,1997-2016,6,5
Alex English,SF,2.01/ 6'7'',15,1976-1991,0,0
Julius Erving,F/G,2.01/ 6'7'',11,1976-1987,4,1
Patrick Ewing,C,2.13/ 7'0'',17,1985-2002,2,0
Walt Frazier,PG,1.93/ 6'4'',13,1967-1980,3,2
Joe Fulks,SF,1.96/ 6'5'',8,1946-1954,2,1
Harry Gallatin,PF/C,1.98/ 6'6'',10,1948-1958,3,0
Kevin Garnett,PF/C,2.11/ 6'11'',21,1995-2016,2,1
George Gervin,SG,2.01/ 6'7'',10,1976-1986,0,0
Artis Gilmore,C,2.18/ 7'2'',12,1976-1988,0,0
Manu Ginóbili,G/F,1.98/ 6'6'',16,2002-2018,5,4
Tom Gola,F/G,1.98/ 6'6'',10,1955-1966,1,1
Gail Goodrich,PG/SG,1.85/ 6'1'',14,1965-1979,4,1
Hal Greer,G/F,1.88/ 6'2'',15,1958-1973,1,1
Richie Guerin,PG/SG,1.93/ 6'4'',13,1956-1970,0,0
Cliff Hagan,F/G,1.93/ 6'4'',10,1956-1966,4,1
Tim Hardaway,PG,1.83/ 6'0'',13,1989-2003,0,0
John Havlicek,F/G,1.96/ 6'5'',16,1962-1978,8,8
Connie Hawkins,PF/C,2.03/ 6'8'',7,1969-1976,0,0
Elvin Hayes,C/PF,2.06/ 6'9'',16,1968-1984,3,1
Spencer Haywood,PF/C,2.03/ 6'8'',12,1970-1983,1,1
Tom Heinsohn,PF/C,2.01/ 6'7'',9,1956-1965,9,8
Grant Hill,SF,2.03/ 6'8'',18,1994-2013,0,0
Bob Houbregs,C/PF,2.01/ 6'7'',5,1953-1958,2,0
Bailey Howell,SF,2.01/ 6'7'',12,1959-1971,2,2
Lou Hudson,G/F,1.96/ 6'5'',13,1966-1979,0,0
Dan Issel,C/PF,2.06/ 6'9'',9,1976-1985,0,0
Allen Iverson,SG/PG,1.83/ 6'0'',14,1996-2010,1,0
Buddy Jeannette,PG/SG,1.80/ 5'11'',3,1947-1950,1,1
Dennis Johnson,PG/SG,1.93/ 6'4'',14,1976-1990,6,3
Gus Johnson,SF,1.98/ 6'6'',10,1963-1973,1,0
Magic Johnson,PG/SG,2.06/ 6'9'',13,1979-1996,9,5
Neil Johnston,C,2.03/ 6'8'',8,1951-1959,1,1
Bobby Jones,SF,2.06/ 6'9'',10,1976-1986,3,1
K.C. Jones,PG,1.85/ 6'1'',9,1958-1967,8,8
Sam Jones,SG,1.93/ 6'4'',12,1957-1969,11,10
Michael Jordan,G/F,1.98/ 6'6'',15,1984-2003,6,6
Jason Kidd,PG/SG,1.93/ 6'4'',19,1994-2013,3,1
Bernard King,SF,2.01/ 6'7'',14,1977-1993,0,0
Toni Kukoc,SF/PF,2.11/ 6'11'',13,1993-2006,3,3
Bob Lanier,C,2.11/ 6'11'',14,1970-1984,0,0
Clyde Lovellette,C/PF,2.08/ 6'10'',11,1953-1964,5,3
Jerry Lucas,PF/C,2.03/ 6'8'',11,1963-1974,2,1
Ed Macauley,C/PF,2.03/ 6'8'',10,1949-1959,2,1
Karl Malone,PF,2.06/ 6'9'',19,1985-2004,3,0
Moses Malone,C/PF,2.08/ 6'10'',19,1976-1995,2,1
Pete Maravich,SG/PG,1.96/ 6'5'',10,1970-1980,0,0
Sarunas Marciulionis,SG,1.96/ 6'5'',7,1989-1997,0,0
Slater Martin,PG,1.78/ 5'10'',11,1949-1960,7,5
Bob McAdoo,C/PF,2.06/ 6'9'',14,1972-1986,4,2
George McGinnis,PF/C,2.03/ 6'8'',7,1975-1982,1,0
Tracy McGrady,F/G,2.03/ 6'8'',16,1997-2012,1,0
Dick McGuire,PG/SG,1.83/ 6'0'',11,1949-1960,3,0
Kevin McHale,PF/C,2.08/ 6'10'',13,1980-1993,5,3
George Mikan,C,2.08/ 6'10'',7,1948-1956,5,5
Vern Mikkelsen,PF/SF,2.01/ 6'7'',10,1949-1959,5,4
Reggie Miller,SG,2.01/ 6'7'',18,1987-2005,1,0
Yao Ming,C,2.29/ 7'6'',8,2002-2011,0,0
Sidney Moncrief,SG,1.91/ 6'3'',11,1979-1991,0,0
Earl Monroe,PG,1.91/ 6'3'',13,1967-1980,3,1
Alonzo Mourning,C,2.08/ 6'10'',15,1992-2008,1,1
Chris Mullin,G/F,2.01/ 6'7'',16,1985-2001,1,0
Calvin Murphy,PG,1.75/ 5'9'',13,1970-1983,1,0
Dikembe Mutombo,C,2.18/ 7'2'',18,1991-2009,2,0
Steve Nash,PG,1.91/ 6'3'',18,1996-2014,0,0
Hakeem Olajuwon,C,2.13/ 7'0'',18,1984-2002,3,2
Shaquille O'Neal,C,2.16/ 7'1'',19,1992-2011,6,4
Robert Parish,C,2.13/ 7'0'',21,1976-1997,6,4
Gary Payton,PG,1.93/ 6'4'',17,1990-2007,2,1
Drazen Petrovic,SG,1.96/ 6'5'',4,1989-1993,1,0
Bob Pettit,PF/C,2.06/ 6'9'',11,1954-1965,4,1
Andy Phillip,G/F,1.88/ 6'2'',11,1947-1958,4,1
Paul Pierce,SF,2.01/ 6'7'',19,1998-2017,2,1
Scottie Pippen,SF,2.03/ 6'8'',17,1987-2004,6,6
Jim Pollard,PF/C,1.93/ 6'4'',7,1948-1955,5,5
Dino Radja,PF/C,2.11/ 6'11'',4,1993-1997,0,0
Frank Ramsey,F/G,1.91/ 6'3'',9,1954-1964,8,7
Willis Reed,C/PF,2.06/ 6'9'',10,1964-1974,2,2
Mitch Richmond,SG,1.96/ 6'5'',14,1988-2002,1,1
Arnie Risen,C,2.06/ 6'9'',10,1948-1958,3,2
Oscar Robertson,PG,1.96/ 6'5'',14,1960-1974,2,1
David Robinson,C,2.16/ 7'1'',14,1989-2003,2,2
Guy Rodgers,PG,1.83/ 6'0'',12,1958-1970,1,0
Dennis Rodman,PF/SF,1.98/ 6'6'',14,1986-2000,6,5
Bill Russell,C,2.06/ 6'9'',13,1956-1969,12,11
Arvydas Sabonis,C,2.21/ 7'3'',7,1995-2003,0,0
Ralph Sampson,C,2.24/ 7'4'',9,1983-1992,1,0
Dolph Schayes,PF/C,2.01/ 6'7'',15,1949-1964,3,1
Bill Sharman,SG/PG,1.85/ 6'1'',11,1950-1961,5,4
Jack Sikma,C/PF,2.11/ 6'11'',14,1977-1991,2,1
John Stockton,PG,1.85/ 6'1'',19,1984-2003,2,0
Maurice Stokes,PF/C,2.01/ 6'7'',3,1955-1958,0,0
Isiah Thomas,PG,1.85/ 6'1'',13,1981-1994,3,2
David Thompson,F/G,1.93/ 6'4'',8,1976-1984,0,0
Oscar Schmidt,SG/SF,2.05/6'9'',7,1984-1991,0,0
Nate Thurmond,PF/C,2.11/ 6'11'',14,1963-1977,2,0
Jack Twyman,SF/PF,1.98/ 6'6'',11,1955-1966,0,0
Wes Unseld,C/PF,2.01/ 6'7'',13,1968-1981,4,1
Chet Walker,SF/PF,1.98/ 6'6'',13,1962-1975,1,1
Ben Wallace,C/PF,2.06/ 6'9'',16,1996-2012,2,1
Bill Walton,C,2.11/ 6'11'',10,1974-1987,3,2
Bobby Wanzer,SG/PG,1.83/ 6'0'',9,1948-1957,1,1
Chris Webber,PF,2.08/ 6'10'',15,1993-2008,0,0
Jerry West,PG/SG,1.88/ 6'2'',14,1960-1974,9,1
Paul Westphal,SG/PG,1.93/ 6'4'',12,1972-1984,2,1
Jo Jo White,PG/SG,1.91/ 6'3'',12,1969-1981,2,2
Lenny Wilkens,PG,1.85/ 6'1'',15,1960-1975,1,0
Jamaal Wilkes,F/G,1.98/ 6'6'',12,1974-1986,5,3
Dominique Wilkins,SF,2.03/ 6'8'',15,1982-1999,0,0
James Worthy,SF,2.06/ 6'9'',12,1982-1994,6,3
George Yardley,F/G,1.96/ 6'5'',7,1953-1960,2,0
